,0,1
0,美国队长,https://baike.baidu.com/item/%E7%BE%8E%E5%9B%BD%E9%98%9F%E9%95%BF/3472
1,绿巨人,https://baike.baidu.com/item/%E7%BB%BF%E5%B7%A8%E4%BA%BA/65931
2,雷神,https://baike.baidu.com/item/%E9%9B%B7%E7%A5%9E/8321769
3,黑寡妇,https://baike.baidu.com/item/%E9%BB%91%E5%AF%A1%E5%A6%87/6478268
4,战争机器,https://baike.baidu.com/item/%E6%88%98%E4%BA%89%E6%9C%BA%E5%99%A8/17606035
5,鹰眼,https://baike.baidu.com/item/%E9%B9%B0%E7%9C%BC/15107237
6,尼克弗瑞,https://baike.baidu.com/item/%E5%B0%BC%E5%85%8B%E5%BC%97%E7%91%9E?force=1
7,猎鹰,https://baike.baidu.com/item/%E7%8C%8E%E9%B9%B0/534739
8,幻视,https://baike.baidu.com/item/%E5%B9%BB%E8%A7%86/15388599
9,绯红女巫,https://baike.baidu.com/item/%E7%BB%AF%E7%BA%A2%E5%A5%B3%E5%B7%AB/10120741
10,快银,https://baike.baidu.com/item/%E5%BF%AB%E9%93%B6/6342159
11,奥创,https://baike.baidu.com/item/%E5%A5%A5%E5%88%9B?force=1
12,特工希尔,https://baike.baidu.com/item/%E7%89%B9%E5%B7%A5%E5%B8%8C%E5%B0%94?force=1
13,斯特拉克男爵,https://baike.baidu.com/item/%E6%96%AF%E7%89%B9%E6%8B%89%E5%85%8B%E7%94%B7%E7%88%B5?force=1
14,海姆达尔,https://baike.baidu.com/item/%E6%B5%B7%E5%A7%86%E8%BE%BE%E5%B0%94/16438313
15,小辣椒,https://baike.baidu.com/item/%E5%B0%8F%E8%BE%A3%E6%A4%92/6996995
16,霍华德·史塔克,https://baike.baidu.com/item/%E9%9C%8D%E5%8D%8E%E5%BE%B7%C2%B7%E5%8F%B2%E5%A1%94%E5%85%8B?force=1
17,玛丽亚·斯塔克,https://baike.baidu.com/item/%E7%8E%9B%E4%B8%BD%E4%BA%9A%C2%B7%E6%96%AF%E5%A1%94%E5%85%8B?force=1
18,奥巴代亚·斯坦尼,https://baike.baidu.com/item/%E5%A5%A5%E5%B7%B4%E4%BB%A3%E4%BA%9A%C2%B7%E6%96%AF%E5%9D%A6%E5%B0%BC?force=1
19,埃德温·贾维斯,https://baike.baidu.com/item/%E5%9F%83%E5%BE%B7%E6%B8%A9%C2%B7%E8%B4%BE%E7%BB%B4%E6%96%AF?force=1
20,菲尔·科尔森,https://baike.baidu.com/item/%E8%8F%B2%E5%B0%94%C2%B7%E7%A7%91%E5%B0%94%E6%A3%AE?force=1
21,鞭索二代,https://baike.baidu.com/item/%E9%9E%AD%E7%B4%A2%E4%BA%8C%E4%BB%A3?force=1
22,鞭索一代,https://baike.baidu.com/item/%E9%9E%AD%E7%B4%A2%E4%B8%80%E4%BB%A3?force=1
23,贾斯汀·汉默,https://baike.baidu.com/item/%E8%B4%BE%E6%96%AF%E6%B1%80%C2%B7%E6%B1%89%E9%BB%98?force=1
24,奥尔得雷齐·基里安,https://baike.baidu.com/item/%E5%A5%A5%E5%B0%94%E5%BE%97%E9%9B%B7%E9%BD%90%C2%B7%E5%9F%BA%E9%87%8C%E5%AE%89?force=1
25,玛雅·汉森,https://baike.baidu.com/item/%E7%8E%9B%E9%9B%85%C2%B7%E6%B1%89%E6%A3%AE?force=1
26,憎恶,https://baike.baidu.com/item/%E6%86%8E%E6%81%B6/15413475
27,大头目,https://baike.baidu.com/item/%E5%A4%A7%E5%A4%B4%E7%9B%AE?force=1
28,洛基,https://baike.baidu.com/item/%E6%B4%9B%E5%9F%BA/12633805
29,奥丁,https://baike.baidu.com/item/%E5%A5%A5%E4%B8%81/17923147
30,弗丽嘉,https://baike.baidu.com/item/%E5%BC%97%E4%B8%BD%E5%98%89/19304766
31,希芙,https://baike.baidu.com/item/%E5%B8%8C%E8%8A%99/16510940
32,沃斯塔格,https://baike.baidu.com/item/%E6%B2%83%E6%96%AF%E5%A1%94%E6%A0%BC?force=1
33,霍根,https://baike.baidu.com/item/%E9%9C%8D%E6%A0%B9/16511480
34,范达尔,https://baike.baidu.com/item/%E8%8C%83%E8%BE%BE%E5%B0%94?force=1
35,简·福斯特,https://baike.baidu.com/item/%E7%AE%80%C2%B7%E7%A6%8F%E6%96%AF%E7%89%B9?force=1
36,达西·路易斯,https://baike.baidu.com/item/%E8%BE%BE%E8%A5%BF%C2%B7%E8%B7%AF%E6%98%93%E6%96%AF?force=1
37,劳菲,https://baike.baidu.com/item/%E5%8A%B3%E8%8F%B2/17859088
